iter	Passed	Remaining
0	0	80
1	1	72
2	2	67
3	2	62
4	3	61
5	3	60
6	4	59
7	5	58
8	5	57
9	6	56
10	6	55
11	7	54
12	8	54
13	8	53
14	9	52
15	9	51
16	10	50
17	10	49
18	11	48
19	11	47
20	12	47
21	13	46
22	13	45
23	14	45
24	14	44
25	15	43
26	15	43
27	16	42
28	17	41
29	17	41
30	18	40
31	18	39
32	19	39
33	19	38
34	20	37
35	20	37
36	21	36
37	22	36
38	22	35
39	23	34
40	23	34
41	24	33
42	24	32
43	25	32
44	25	31
45	26	30
46	26	30
47	27	29
48	28	29
49	28	28
50	29	28
51	29	27
52	30	26
53	31	26
54	31	25
55	32	25
56	32	24
57	33	24
58	33	23
59	34	23
60	35	22
61	35	21
62	36	21
63	37	20
64	37	20
65	38	19
66	38	19
67	39	18
68	40	18
69	41	17
70	41	17
71	42	16
72	42	15
73	43	15
74	44	14
75	44	14
76	45	13
77	46	13
78	46	12
79	47	11
80	48	11
81	48	10
82	49	10
83	50	9
84	50	8
85	51	8
86	52	7
87	53	7
88	53	6
89	54	6
90	55	5
91	56	4
92	56	4
93	57	3
94	58	3
95	58	2
96	59	1
97	60	1
98	61	0
99	61	0
