iter	Passed	Remaining
0	141	141377
1	145	72430
2	146	48805
3	148	36931
4	149	29793
5	150	24978
6	152	21565
7	152	18950
8	153	16902
9	154	15282
10	155	13958
11	156	12882
12	157	11964
13	158	11169
14	159	10457
15	159	9836
16	160	9280
17	161	8788
18	161	8351
19	162	7970
20	163	7612
21	164	7294
22	164	6999
23	165	6727
24	166	6475
25	166	6241
26	167	6024
27	168	5832
28	168	5644
29	169	5467
30	169	5303
31	170	5154
32	171	5022
33	172	4889
34	172	4767
35	173	4646
36	174	4533
37	174	4424
38	175	4320
39	175	4221
40	176	4127
41	177	4040
42	177	3955
43	178	3874
44	178	3798
45	179	3725
46	180	3655
47	180	3587
48	181	3520
49	182	3458
50	182	3397
51	183	3337
52	183	3280
53	184	3225
54	184	3177
55	185	3130
56	186	3086
57	187	3041
58	187	2996
59	188	2951
60	189	2912
61	189	2872
62	190	2832
63	190	2792
64	191	2755
65	192	2718
66	192	2683
67	193	2649
68	193	2615
69	194	2581
70	194	2549
71	195	2518
72	195	2487
73	196	2458
74	196	2429
75	197	2401
76	198	2374
77	198	2347
78	199	2321
79	199	2299
80	200	2278
81	201	2257
82	201	2231
83	202	2209
84	203	2187
85	203	2165
86	204	2145
87	205	2124
88	205	2104
89	206	2084
90	206	2064
91	207	2048
92	208	2031
93	208	2012
94	209	1994
95	209	1976
96	210	1958
97	210	1940
98	211	1923
99	211	1906
100	212	1890
101	212	1874
102	213	1858
103	214	1847
104	215	1839
105	216	1825
106	217	1812
107	217	1799
108	218	1786
109	219	1773
110	219	1760
111	220	1748
112	221	1735
113	221	1723
114	222	1710
115	222	1699
116	223	1686
117	224	1675
118	224	1664
119	225	1653
120	226	1642
121	226	1630
122	227	1620
123	227	1609
124	228	1599
125	229	1592
126	230	1582
127	231	1574
128	231	1565
129	232	1556
130	233	1548
131	234	1539
132	234	1531
133	235	1522
134	236	1514
135	237	1505
136	237	1498
137	238	1489
138	239	1480
139	239	1472
140	240	1464
141	240	1454
142	241	1446
143	241	1438
144	242	1430
145	243	1422
146	244	1417
147	245	1412
148	246	1406
149	247	1399
150	247	1392
151	248	1385
152	249	1379
153	249	1371
154	250	1364
155	250	1357
156	251	1350
157	252	1344
158	252	1337
159	253	1331
160	254	1324
161	254	1318
162	255	1312
163	256	1305
164	256	1299
165	257	1293
166	258	1287
167	259	1283
168	259	1278
169	260	1273
170	261	1267
171	262	1261
172	262	1256
173	263	1250
174	264	1244
175	264	1239
176	265	1234
177	266	1228
178	266	1223
179	267	1217
180	267	1212
181	268	1207
182	269	1202
183	269	1196
184	270	1191
185	271	1186
186	271	1181
187	272	1176
188	273	1172
189	274	1169
190	275	1165
191	275	1160
192	276	1155
193	276	1150
194	277	1146
195	278	1141
196	278	1136
197	279	1132
198	280	1127
199	280	1122
200	281	1118
201	281	1113
202	282	1109
203	283	1105
204	283	1101
205	284	1096
206	285	1092
207	285	1088
208	286	1084
209	287	1080
210	287	1076
211	288	1072
212	289	1068
213	289	1065
214	290	1060
215	291	1056
216	291	1052
217	292	1048
218	292	1044
219	293	1040
220	294	1036
221	294	1032
222	295	1028
223	295	1025
224	296	1022
225	297	1018
226	297	1014
227	298	1011
228	299	1007
229	299	1004
230	300	1000
231	301	997
232	302	994
233	302	991
234	303	987
235	304	984
236	304	981
237	305	977
238	305	974
239	306	970
240	307	967
241	307	964
242	308	960
243	309	957
244	309	954
245	310	951
246	311	948
247	311	944
248	312	941
249	312	938
250	313	935
251	313	931
252	314	928
253	315	925
254	315	923
255	316	919
256	317	916
257	317	914
258	318	911
259	319	908
260	319	905
261	320	902
262	321	899
263	321	896
264	322	893
265	322	891
266	323	888
267	324	885
268	324	882
269	325	879
270	326	877
271	326	874
272	327	871
273	327	868
274	328	866
275	329	863
276	329	860
277	330	858
278	331	855
279	331	852
280	332	850
281	333	848
282	333	845
283	334	843
284	334	840
285	335	837
286	336	835
287	336	832
288	337	830
289	338	827
290	338	825
291	339	822
292	339	819
293	340	817
294	340	814
295	341	812
296	342	809
297	342	807
298	343	805
299	344	803
300	344	800
301	345	798
302	345	795
303	346	793
304	347	790
305	347	789
306	348	787
307	349	785
308	349	782
309	350	780
310	351	777
311	351	775
312	352	773
313	352	770
314	353	768
315	354	766
316	354	764
317	355	761
318	355	759
319	356	757
320	356	754
321	357	752
322	357	750
323	358	747
324	359	745
325	359	743
326	360	741
